Threshold,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
extreme,China,409.0678885,348.0361756,295.4068778,244.5058785,225.6037637,205.6995458,194.0619575,172.0002596,149.5750585,106.1906731,87.3899665,25.16345664,18.50148069,9.994845685,8.086396529,6.080053961
extreme,RoEAP,107.0667489,104.3036224,104.1722399,93.93234553,105.5103227,89.09822922,85.75711903,72.9864761,62.89949818,56.12132576,51.14370282,44.43468241,39.33251024,34.45458176,31.33387309,27.99254711
moderate,China,332.6678315,333.691625,330.3081964,322.3515775,299.8167369,275.8574388,261.751828,247.8688267,232.2059485,209.4110509,184.775076,138.9437854,110.9559939,85.65715863,73.14282129,57.73641512
moderate,RoEAP,170.0475259,166.4134543,164.7122381,167.2247729,162.4735938,157.5679742,157.5479247,153.1457606,135.1435803,132.4116983,132.0528091,130.0576991,125.5948246,112.6687069,108.6493236,100.0747392
vulnerable,China,292.0252127,315.6509212,335.8116235,354.6206893,352.228586,348.0883651,345.205093,339.9671935,332.8875936,344.9755902,326.327912,328.980855,300.1636695,277.8854022,259.552969,233.9518774
vulnerable,RoEAP,128.7385434,134.029204,136.4282326,141.1821592,138.0618412,148.7497275,155.4088917,158.4777832,159.5455251,157.3305445,160.2574715,160.2212047,162.8648244,169.1128637,164.0174327,163.2077338
secure,China,227.2697772,265.2648859,302.2945634,342.5907939,380.7078089,420.9474301,446.5412005,476.6616714,508.2870643,551.7973137,590.1186455,664.757043,694.136008,724.312184,734.4313506,741.3842669
secure,RoEAP,100.0510239,106.9263186,111.9252775,118.1350636,119.1219652,133.8011588,135.6930249,152.5894439,179.4221144,193.7381326,198.0570656,208.1885168,220.2433562,231.9034667,247.0139288,259.5561084
middle_class,China,18.68030425,24.88047591,31.18681929,38.36574949,50.58872338,64.32114624,73.5183525,89.94842343,108.5166987,124.8874961,153.709091,191.662056,229.1517613,263.7466801,292.0264057,332.9151955
middle_class,RoEAP,24.93759401,26.21892193,27.57509921,31.31363488,33.50857939,36.48250728,37.99517015,41.99332021,48.70445358,52.94577597,57.98430896,63.78030984,65.68917852,71.92376271,75.81385843,82.1217075
above_mc,China,0.688985801,0.875916319,1.066919547,1.285311342,2.074381053,2.971073893,3.5765685,4.81362545,6.232636311,6.86787596,8.374309,7.872804,11.36108653,9.623729311,11.42505685,14.32719115
above_mc,RoEAP,14.80427491,15.2517227,15.73897162,16.08884583,16.42796082,16.55085099,16.98194047,17.40303996,18.23028247,18.91469291,19.617452,20.1347102,20.7352811,21.89237932,22.44554342,23.47721208